,source,target,value
8,Americans,ISM,2
9,Americans,U.S.,3
10,U.S.,the University of Michigan's,3
11,Consumer Confidence,the University of Michigan's,3
12,AUM,China,6
13,China,Tesla,2
14,Direxion Daily,Tesla,1
15,Direxion Daily,U.S.,1
16,U.S.,the RBICS Sub Industries,3
17,MicroSectors Travel -3x Inverse Leveraged ETN,the RBICS Sub Industries,1
18,Leveraged ETN,MicroSectors Travel -3x Inverse Leveraged ETN,2
19,GDXU,Leveraged ETN,6
20,Leveraged ETN,the S-Network MicroSectors Gold Miners,3
21,DRIP,Direxion Daily S&P Oil & Gas,3
22,Direxion Daily S&P Oil & Gas,the S&P Oil & Gas Exploration & Production Select Industry,2
23,Direxion Daily S&P Oil & Gas Exp,the S&P Oil & Gas Exploration & Production Select Industry,2
24,Direxion Daily,Zacks Investment Research,1
25,CWEB,China,3
26,CWEB,ETF Research Reports Direxion Daily S&P Oil & Gas Exp,3
27,DRIP,ETF Research Reports Direxion Daily S&P Oil & Gas Exp,2
28,DRIP,ETF Research Reports,3
29,ETF Research Reports,GDXU,3
30,ETF Research Reports MicroSectors,GDXU,3
31,ETF Research Reports Direxion Daily,ETF Research Reports MicroSectors,3
32,ETF Research Reports Direxion Daily,Zacks.com,3
33,Zacks Investment Research Related Quotes,Zacks.com,2
0,S3 Partners,Tesla’s,1
1,S3 Partners,Tesla,2
2,CNN,Tesla,5
3,Tesla,Twitter,1
4,Apple,Tesla,4
5,David Einhorn,Tesla,3
6,Ford,Tesla,2
7,Ford,GM,3
8,GM,Rivian,3
9,Joey Klender,Rivian,2
10,Twitter,tips@teslarati.com,3
11,Porsche,tips@teslarati.com,2
12,Porsche,Tesla China,2
13,Shanghai,Tesla China,3
14,Q4,Shanghai,2
0,Bloomberg,Musk,2
1,Bloomberg,Tesla TSLA,2
2,SEC,Tesla TSLA,2
3,Bloomberg,SEC,2
4,Bloomberg,the Musk Foundation,3
5,The Musk Foundation’s,the Musk Foundation,2
6,Bloomberg,The Musk Foundation’s,3
7,Bloomberg,St. Jude Children’s Research Hospital,3
8,St. Jude Children’s Research Hospital,the X Prize Foundation,3
9,Tesla,the X Prize Foundation,2
10,Musk,Tesla,2
11,Musk,the United Nations World Food Program,2
12,the United Nations World Food Program,the World Food Program,3
13,Twitter,the World Food Program,3
14,Musk’s,Twitter,2
15,Musk’s,The World Food Program,1
16,Musk,The World Food Program,3
17,Musk,WFP,3
18,MarketWatch,WFP,3
19,MarketWatch,Tesla,2
20,SpaceX,Tesla,3
21,SpaceX,Twitter,3
22,Tesla,Twitter,2
23,Neuralink,Tesla,3
24,Neuralink,The Boring Company,3
25,Musk,The Boring Company,3
26,Chris Anderson,Musk,3
27,Chris Anderson,TED Talks,3
28,Florida,SPX,2
29,Florida,Sam Bankman-Fried,3
30,Giving Pledge,Sam Bankman-Fried,3
31,Giving Pledge,Leslie Albrecht,2
32,Leslie Albrecht,New York,3
33,New York,New York City,2
34,DNAinfo,New York City,3
35,DNAinfo,the Modesto Bee,3
36,Merced Sun-Star,the Modesto Bee,3
37,McClatchy,Merced Sun-Star,3
38,California,McClatchy,3
39,California,the Columbia University Graduate School of Journalism,2
0,Treasury,Yasin Ebrahim Investing.com,1
1,Treasury,the Nasdaq Composite,1
2,Meta Platforms,the Nasdaq Composite,2
3,META,Meta Platforms,3
4,Apple,META,3
5,Apple,Treasury,2
6,Federal Reserve,Treasury,3
7,Federal Reserve,Jefferies,2
8,Jefferies,Netflix,2
9,CFRA,Netflix,3
10,CFRA,Elon Musk,2
11,Elon Musk,Twitter,2
12,Twitter,Wedbush,3
13,Musk,Wedbush,3
14,Musk,U.S.,2
15,Baker Hughes,U.S.,1
16,Baker Hughes,NYSE,3
17,NYSE,OKE,3
18,Halliburton,OKE,3
19,Halliburton,McDonald's Corporation,2
20,McDonald's Corporation,NYSE,3
21,MCD,NYSE,3
22,MCD,UK,3
23,Biden,UK,1
24,Biden,U.S.,2
25,Dow Jones Industrial Average,U.S.,2
0,FED,US,2
1,Accenture plc,NYSE,15
2,Huang,NYSE,1
3,Huang,JPMorgan,3
4,Accenture plc,JPMorgan,3
5,Ako Capital,NYSE,2
6,Ako Capital,Intel Corporation,2
7,Intel Corporation,KinNgai Chan,2
8,KinNgai Chan,Summit Insights,3
9,Intel Corporation,Summit Insights,3
10,Intel Corporation,Memory Protection Unit,4
11,Intel Corporation,Sigma Advisors,2
12,San Diego,Sigma Advisors,2
13,California,San Diego,3
14,California,QUALCOMM Incorporated,3
15,Melissa Fairbanks,QUALCOMM Incorporated,2
16,Melissa Fairbanks,Raymond James,3
17,QUALCOMM Incorporated,Raymond James,3
18,Matrix Capital Management,QUALCOMM Incorporated,2
19,Intuit Inc.,Matrix Capital Management,2
20,Intuit Inc.,QuickBooks,3
21,QuickBooks,Scott Schneeberger,1
22,Oppenheimer,Scott Schneeberger,3
23,Intuit Inc.,Oppenheimer,3
24,Intuit Inc.,Outperform,3
25,Outperform,YOY,2
26,Intuit Inc.,YOY,2
27,Fisher Asset Management,Intuit Inc.,2
28,Fisher Asset Management,Taiwan Semiconductor Manufacturing Company Limited,2
29,NYSE,Taiwan Semiconductor Manufacturing Company Limited,12
30,NYSE,TSM,12
31,TSM,Taiwan Semiconductor Manufacturing Company Limited,3
32,Arizona,"Tesla, Inc.",3
33,Taiwan Semiconductor Manufacturing Company Limited,"Tesla, Inc.",2
34,Berkshire Hathaway,TSM,2
35,Berkshire Hathaway,"Tesla, Inc.",2
36,American,"Tesla, Inc.",5
37,Mark Delaney,"Tesla, Inc.",2
38,Goldman Sachs,Mark Delaney,3
39,Goldman Sachs,"Tesla, Inc.",3
40,EPS,"Tesla, Inc.",2
41,ARK Investment Management,EPS,1
42,ARK Investment Management,NVIDIA Corporation,1
43,AI,NVIDIA Corporation,3
44,AI,Rajvindra Gill,1
45,Needham,Rajvindra Gill,3
46,NVIDIA Corporation,Needham,3
47,China,NVIDIA Corporation,4
48,Fisher Asset Management,NVIDIA Corporation,2
49,Fisher Asset Management,Santa Clara,2
50,California,Santa Clara,3
51,"Advanced Micro Devices, Inc.",California,3
52,"Advanced Micro Devices, Inc.",NASDAQ,6
53,AMD,NASDAQ,6
54,AMD,Ruben Roy,2
55,Ruben Roy,Stifel,3
56,"Advanced Micro Devices, Inc.",Stifel,3
57,AMD,YoY,2
58,Fisher Asset Management,YoY,1
59,Fisher Asset Management,Headquartered,1
60,Headquartered,San Jose,3
61,Adobe Inc.,San Jose,3
62,Adobe Inc.,NASDAQ,15
63,NASDAQ,Photoshop,3
64,Illustrator,Photoshop,3
65,Illustrator,InDesign,3
66,Brent Bracelin,InDesign,2
67,Brent Bracelin,Piper Sandler,3
68,Adobe Inc.,Piper Sandler,3
69,Fisher Asset Management,NASDAQ,2
70,Fisher Asset Management,The Walt Disney Company,2
71,NYSE,The Walt Disney Company,12
72,DIS,NYSE,12
73,DIS,The Walt Disney Company,2
74,DIS,Mickey Mouse,3
75,Marvel,Mickey Mouse,3
76,Disneyland,Marvel,2
77,Disneyland,Walt Disney World,3
78,Benjamin Swinburne,Walt Disney World,2
79,Benjamin Swinburne,Morgan Stanley,3
80,Morgan Stanley,The Walt Disney Company,3
81,DIS,Parks,2
82,EPS,Parks,3
83,EPS,The Walt Disney Company,2
84,DIS,Fisher Asset Management,2
85,Cap,Fisher Asset Management,2
86,Cap,Suggested Articles,2
87,Chamath Palihapatiya Stocks Disclosure: None,Suggested Articles,3
88,Cap,Chamath Palihapatiya Stocks Disclosure: None,2
89,Cap,Insider Monkey,3
0,EV,carlos aranda,2
1,Unsplash China,carlos aranda,3
2,Russian,the Economic Intelligence Unit,2
3,Russian,Ukraine,3
4,Suzuki Motor,USD,1
5,Suzuki Motor,TTM,1
6,BYD,TTM,5
7,France,TTM,3
8,France,Renault,3
9,Renault,TTM,2
10,South Korean,TTM,3
11,KIA,South Korean,1
12,KIA,TTM,2
13,Japanese,TTM,3
14,Japanese,Nissan,3
15,Infiniti,Nissan,3
16,Infiniti,TTM,2
17,TTM,"Tesla, Inc.",2
18,Elon Musk,"Tesla, Inc.",3
19,Elon Musk,Hyundai,2
20,Hyundai,Korea,5
21,Hyundai,South Korea,4
22,Hyundai,TTM,2
23,China,TTM,3
24,China,SAIC Motor,3
25,Baojun,SAIC Motor,2
26,Baojun,MG,3
27,MG,Roewe,3
28,Maxus,Roewe,3
29,Maxus,Volkswagen,3
30,Japan,TTM,3
31,"Honda Motor Co., Ltd.",Japan,3
32,"Honda Motor Co., Ltd.",NYSE,8
33,Japanese,NYSE,3
34,Japanese,the United States,3
35,Honda Motor Co.,the United States,1
36,Honda Motor Co.,NYSE,3
37,Honda,NYSE,3
38,Accord,Honda,3
39,Accord,CR-V,3
40,CR-V,U.S.,3
41,TTM,U.S.,2
42,Germany,TTM,3
43,BMW,Germany,3
44,BMW,Mercedes-Benz,5
45,BMW,Rolls-Royce,3
46,Rolls-Royce,the United States,2
47,General Motors Company,the United States,3
48,General Motors Company,NYSE,9
49,GM,NYSE,9
50,GM,Toyota,3
51,General Motors Company,Toyota,2
52,GM,General Motors Company,2
53,Buick,GM,3
54,Buick,GMC,3
55,Cadillac,GMC,3
56,Cadillac,Chevrolet,3
57,Suggested,US,3
58,Insider Monkey,US,2
0,Russia,Ukraine,3
1,General Motors GM,Ukraine,1
2,Ford,General Motors GM,3
3,Ford,Stellantis STLA,3
4,Honda,Stellantis STLA,3
5,Honda,Russia,3
6,Historically Low Inventory Levels,Russia,4
7,Russia,the United States,1
8,Fed,Vehicle Affordability,3
9,Biden,Bill Supercharges,3
10,Biden,U.S.,3
11,EV,U.S.,2
12,EV,EV Rollouts,2
13,EV Rollouts,Massive Battery Investments,3
14,Ford’s F-150 Lightning Pro,Massive Battery Investments,2
15,Ford’s F-150 Lightning Pro,General Motors,3
16,Cadillac,General Motors,3
17,Cadillac,EV,1
18,EV,Honda,2
19,Honda,LG Energy Solutions,3
20,LG Energy Solutions,the United States,3
21,Stellantis,the United States,2
22,LG Energy,Stellantis,3
23,EV,LG Energy,3
24,EV,Ontario,3
25,Ontario,Samsung,2
26,Indiana,Samsung,3
27,Hyundai,Indiana,2
28,AV,Hyundai,1
29,AV,Ford,6
30,AV,Argo AI,3
31,Argo AI,Tesla TSLA,2
32,General Motors,Tesla TSLA,2
33,GM,General Motors,2
34,Cruise,GM,3
35,Cruise,U.S.,2
36,SoftBank Vision Fund,U.S.,3
37,Cruise,SoftBank Vision Fund,3
38,Cruise,Cummins,2
39,Cummins,Meritor,6
40,Cummins,Tenneco,2
41,Apollo Funds,Tenneco,3
42,Apollo Funds,Apollo Global,3
43,Apollo Global,EV,2
44,Burning Cash,EV,3
45,Burning Cash,the EV SPAC party,3
46,EV,the EV SPAC party,2
47,"Canoo, Lordstown Motors",EV,2
48,"Canoo, Lordstown Motors",Faraday Future,3
49,Carvana,Carvana’s Drastic Crash,3
50,EV,Tesla,3
51,Musk,Tesla,5
52,Musk,Twitter,5
53,Tesla’s,Twitter,3
54,Tesla,Tesla’s,1
55,Tesla,Twitter,2
56,Tesla,the Federal Reserve’s,4
57,Tesla,Zacks Rank,2
58,Zacks Investment Research,Zacks Rank,2
59,Ford Motor Company,Zacks Investment Research,1
60,Ford Motor Company,"Honda Motor Co., Ltd.",2
61,Free Stock Analysis Report,"Honda Motor Co., Ltd.",2
62,Free Stock Analysis Report,General Motors Company,3
63,GM,General Motors Company,3
64,"Free Stock Analysis Report Tesla, Inc.",GM,2
65,Free Stock Analysis Report,"Free Stock Analysis Report Tesla, Inc.",1
66,Free Stock Analysis Report,Zacks.com,3
67,Zacks Investment Research Related Quotes,Zacks.com,2
0,Morgan Stanley,Tesla,7
1,NASDAQ,Tesla,3
2,Adam Jonas,Morgan Stanley,3
3,Adam Jonas,Tesla,3
4,EV/EBITDA,Tesla,3
5,EV/EBITDA,US,3
6,Morgan Stanley,US,1
7,Elon,Tesla,8
8,Tesla,Tesla's EVs,2
9,China,Tesla's EVs,2
10,China,Tesla,2
11,Elon,Twitter,3
12,Tesla,Twitter,3
13,Gwynne Shotwell,Tesla,2
14,Gwynne Shotwell,Musk,3
15,Musk,Twitter,3
16,Tesla,US,3
17,FTC,US,2
18,Electrek,YouTube,3
19,Twitter,Zalkon.com,3
20,Fred,Zalkon.com,3
21,Fred,Fred Lambert ChargePoint,2
0,Apple (AAPL,Tesla,2
1,Elon Musk,Tesla,3
2,Elon Musk,Tesla’s,2
3,Apple,Tesla,12
4,Apple,Saudi Aramco,8
5,Saudi Aramco,Tesla,2
6,Tesla,Tesla Optimus,1
7,Apple and,Tesla Optimus,3
8,Apple and,Aramco,3
9,Aramco,FTC,2
10,Electrek,YouTube,3
11,Twitter,Zalkon.com,3
12,Fred,Zalkon.com,3
13,Fred,Fred Lambert ChargePoint,2
0,EV,Tesla,2
1,TSLA,Tesla,6
2,Fed,Tesla’s,2
3,Fed,Tesla,2
4,Tesla’s,’s,3
5,the Zacks Consensus Estimate,’s,2
6,Musk,Twitter,5
7,Musk,Tesla,3
8,China,Tesla,2
9,China,Model 3,5
10,EPS,Tesla,1
11,Berlin,EPS,2
12,Austin,Berlin,3
13,Austin,Semi,3
14,Cybertruck,Semi,3
15,Cybertruck,Tesla,1
16,Megapack,Tesla,2
17,Megapack,Powerwall,3
18,Powerwall,Tesla,2
19,TSLA’s,Tesla,1
20,EPS,TSLA’s,3
21,Tesla,U.S.,2
22,Tesla,Zacks #,3
23,Tesla,Zacks Rank,3
24,Harley-Davidson HOG,Zacks Rank,2
25,Harley-Davidson,Harley-Davidson HOG,3
26,HOG,Harley-Davidson,2
27,HOG,The Zacks Consensus Estimate,2
28,Harley-Davidson’s,The Zacks Consensus Estimate,3
29,EPS,Harley-Davidson’s,3
30,EPS,HOG,2
31,HOG,PCAR,3
32,PACCAR,PCAR,3
33,Kenworth,PACCAR,3
34,Kenworth,Peterbilt,3
35,DAF,Peterbilt,3
36,DAF,PCAR,2
37,PCAR,The Zacks Consensus Estimate,2
38,PACCAR,The Zacks Consensus Estimate,3
39,EPS,PACCAR,3
40,EPS,PCAR,2
41,PCAR,Zacks Investment Research,1
42,HarleyDavidson,Zacks Investment Research,1
43,HOG,HarleyDavidson,3
44,PCAR,Zacks.com,1
45,Zacks Investment Research Related Quotes,Zacks.com,2
0,EPS,Tesla,1
1,Tesla’s,Zacks Investment Research Outlook,1
2,TSLA,Zacks Investment Research Outlook,3
3,TSLA,Zacks Investment Research Earnings,2
4,Premium & Valuation Trading,TSLA,5
5,TSLA,Tesla,1
6,EV,Tesla,3
7,"45,336X",EV,3
8,"45,336X",General Motors GM,3
9,Ford,General Motors GM,3
10,Ford,Zacks Investment Research Tesla’s,2
11,Zacks Investment Research Tesla’s,Zacks Rank,2
12,Automotive-Domestic Industry,Zacks Rank,3
13,Automotive-Domestic Industry,Zacks Industries,3
14,Tesla,Zacks Industries,2
15,Zacks Investment Research,Zacks Price Target,2
16,"Tesla, Inc.",Zacks Investment Research,1
17,Ford Motor Company,"Tesla, Inc.",2
18,Ford Motor Company,GM,2
19,GM,Zacks.com,2
20,Zacks Investment Research Related Quotes,Zacks.com,2
0,Tesla,Tesla’s,4
1,Elon Musk,Tesla,5
2,Adam Jonas,Tesla,1
3,Adam Jonas,Morgan Stanley,3
4,Morgan Stanley,Tesla,3
5,EV,Tesla’s,3
6,EV,Tesla,2
7,Citi,Tesla,5
8,Citi,Itay Michaeli,3
9,Itay Michaeli,Tesla,3
10,Michaeli,Tesla,2
11,Citi,Michaeli,3
12,Dan Ives,Tesla,2
13,Dan Ives,Wedbush Securities,3
14,Tesla,Wedbush Securities,3
15,China,USA,2
16,Tesla,USA,2
17,FTC,Tesla,1
18,Electrek,YouTube,3
19,Twitter,Zalkon.com,3
20,Fred,Zalkon.com,3
21,Fred,Fred Lambert ChargePoint,2
0,Elon Musk,Nasdaq,1
1,Nasdaq,Tesla,2
2,Dojo,Tesla,2
3,Tesla Bot,the Tesla Bot,2
4,Boston Dynamics,the Tesla Bot,2
5,Boston Dynamics,Tesla,2
6,Boston Dynamics’s,Tesla,3
7,Boston Dynamics’s,Tesla Bot,3
8,Tesla,Tesla Bot,1
9,Musk,Tesla,4
10,Musk,Tesla Bot,6
11,Electrek,YouTube,3
12,Twitter,Zalkon.com,3
13,Fred,Zalkon.com,3
14,Fred,Fred Lambert ChargePoint,2
0,Forbes Advisor,Tesla,2
1,TSLA,Tesla,8
2,Canada,TSLA,7
3,Canada,Canadian,5
4,Canadian,Tax-Free Savings,2
5,Registered Education Savings,Tax-Free Savings,3
6,Registered Education Savings,TFSA,2
7,RRSP,TFSA,2
8,IRS,RRSP,2
9,Canadian,IRS,3
10,Canadian,Uncle Sam,3
11,RRSP,Uncle Sam,3
12,Canadians,IRS,6
13,CRA,IRS,3
14,Tesla’s,the Securities and Exchange Commission’s,3
15,SEC,the Securities and Exchange Commission’s,3
16,Morningstar,SEC,1
17,Globe Investor,Morningstar,3
18,Forbes,Globe Investor,3
19,Forbes,Tesla,2
20,Tesla,the Nasdaq exchange,3
21,American,TSLA,6
22,Canadian,U.S.,3
23,American,U.S.,9
24,Norbert,U.S.,2
25,American,Norbert,2
26,American,Canadian,9
27,U.S.,the U.S. dollars,3
28,American,the U.S. dollars,3
29,Canadian,Tesla,2
30,Tesla,the S&P 500,4
31,Canadians,Tesla,1
32,IRS,U.S.,3
33,CRA,Canada,3
34,CRA,USD,2
35,IRS,USD,3
36,CFP,Valerie Rivera,3
37,CFP,Facet Wealth,3
38,Facet Wealth,Tesla,2
39,Nasdaq,Tesla,5
40,Kat Tretina,Tesla,1
41,Kat Tretina,Orlando,3
42,FL,Orlando,3
43,Aaron Broverman,FL,1
44,Aaron Broverman,Forbes Advisor,3
45,Canada,Forbes Advisor,3
46,Canada,Creditcards.com,2
47,Creditcards.com,Yahoo Finance Canada,3
48,Nerd Wallet Canada,Yahoo Finance Canada,3
49,Nerd Wallet Canada,Waterloo,2
50,Ontario,Waterloo,2
0,Elon Musk,Tesla,5
1,Musk,Tesla’s,3
2,Charge.org,Tesla’s,2
3,Alexandra Merz,Charge.org,3
4,Alexandra Merz,Tesla,3
5,Tesla,the Board of Tesla Inc.,3
6,Share Buybacks,the Board of Tesla Inc.,3
7,Share Buybacks,Tesla,1
8,Electrek,YouTube,3
9,Twitter,Zalkon.com,3
10,Fred,Zalkon.com,3
11,Fred,Fred Lambert ChargePoint,2
0,Bloomberg's Alix Steel,Paul Sweeney,2
1,Bloomberg Intelligence,Paul Sweeney,2
2,Bloomberg Intelligence,Gina Champion-Cain,2
3,Gina Champion-Cain,San Diego,3
4,Ponzi,San Diego,2
5,Ponzi,UK Passengers Return,2
6,UK Passengers Return,Work Israel’s,3
7,Eyes Measures,Work Israel’s,3
8,Boost Competition Lagarde,Eyes Measures,3
9,Appeal Endures Bank,Boost Competition Lagarde,2
10,Appeal Endures Bank,China,3
11,China,Extending Incentive Offers South Korea Asks,3
12,Extending Incentive Offers South Korea Asks,US,3
13,David Beckham,US,2
14,David Beckham,Ukraine,1
15,Nancy Pelosi’s,Ukraine,3
16,Nancy Pelosi’s,Republican,3
17,Republican,the Eastern Front Futuristic,3
18,China,the Eastern Front Futuristic,3
19,China,US,2
20,New York City,US,2
21,New York City,Tesla Inc.,3
22,Tesla Inc.,US,1
0,Elon Musk,Tesla,1
1,Elon Musk,"Twitter, Inc.",1
2,TWTR,"Twitter, Inc.",1
3,Securities and Exchange Commission,TWTR,1
4,SEC,Securities and Exchange Commission,1
5,SEC,Tesla,3
6,SEC,SpaceX,2
7,SpaceX,Tesla,3
8,EV,Tesla,3
9,EV,Musk,5
10,EV,Twitter,3
11,Tesla,Twitter,7
12,Musk,Tesla,7
13,Musk,Twitter,2
14,Twitter,Wedbush,2
15,Dan Ives,Wedbush,3
16,Dan Ives,Gary Black,2
17,Gary Black,Tesla,3
18,Reuters,Securities and Exchange Commission,1
19,MarketWatch,Reuters,1
20,Amid Twitter Fight,MarketWatch,2
21,Amid Twitter Fight,Dotdash Meredith,2
22,Cookies Settings,Dotdash Meredith,1
0,Elon Musk,Tesla TSLA,1
1,Tesla TSLA,Twitter TWTR,1
2,EV,Twitter TWTR,1
3,EV,TWTR,2
4,TSLA AI Day 2022,TWTR,1
5,Optimus,TSLA AI Day 2022,2
6,AI,Optimus,3
7,AI,Tesla’s,2
8,Optimus,Tesla’s,3
9,AI,Tesla,3
10,EV,Tesla,2
11,China,Tesla,3
12,China,Germany,3
13,Germany,Texas,3
14,Tesla,Twitter,9
15,TWTR,Twitter,2
16,Musk,TWTR,3
17,Musk,Twitter,15
18,TWTR,Tesla,5
19,Musk,Tesla,2
20,Delaware,Musk,2
21,Delaware,TWTR,1
22,TSLA,TWTR,5
23,TSLA,Tesla,2
24,Musk,Neuralink,3
25,Neuralink,The Boring Company,3
26,TWTR,Zacks Rank,3
27,Zacks Investment Research,Zacks Rank,1
28,"Tesla, Inc.",Zacks Investment Research,1
29,TWTR,"Tesla, Inc.",2
30,TWTR,Zacks.com,2
31,Zacks Investment Research Related Quotes,Zacks.com,2
0,Tesla,Twitter,5
1,Tesla,Tesla’s,6
2,Tesla,republican,2
3,Morgan Stanley,republican,1
4,Morgan Stanley,Tesla,9
5,Adam Jonas,Tesla,2
6,Adam Jonas,Twitter,2
7,EV,Tesla,5
8,EV,Tesla’s,5
9,Musk,Tesla’s,1
10,Musk,Tesla,3
11,FTC,Tesla,1
12,Electrek,YouTube,3
13,Twitter,Zalkon.com,3
14,Fred,Zalkon.com,3
15,Fred,Fred Lambert ChargePoint,2
0,KoGuan Leo,Tesla,22
1,Larry Ellison,Tesla,4
2,Columbia University,Larry Ellison,1
3,Columbia University,New York Law School,3
4,New York Law School,SHI International Corp,3
5,KoGuan Leo,SHI International Corp,2
6,KoGuan Leo,Musk,5
7,Musk,Tesla,17
8,Ellison,Musk,3
9,Ellison,Tesla,3
10,Elon Musk+Larry Ellison,Tesla,5
11,Robert Frost’s,Tesla,2
12,Robert Frost’s,Tesla’s,1
13,Tesla,Tesla’s,5
14,Larry Ellison,Oracle’s,3
15,Oracle’s,Tesla,3
16,Tesla,Tesla Ellison,1
17,Tesla Ellison,Tesla’s,3
18,KoGuan Leo’s Twitter,Tesla,4
19,FTC,Tesla,2
20,Electrek,YouTube,3
21,Twitter,Zalkon.com,3
22,Fred,Zalkon.com,3
23,Fred,Fred Lambert ChargePoint,2
0,Tesla,"Tesla, Inc.",1
1,SEC,"Tesla, Inc.",1
2,SEC,Tesla,2
3,Reuters,"Tesla, Inc.",1
4,Company News Company Shareholder News Company Shareholder News Company News FAANG,Tesla Stock,2
5,Company News Company Shareholder News Company Shareholder News Company News FAANG,FAAMG Companies Company Shareholder News,3
6,Dotdash Meredith,FAAMG Companies Company Shareholder News,3
7,Cookies Settings,Dotdash Meredith,1
0,Funds,"Tesla, Inc.",3
1,Austin,"Tesla, Inc.",2
2,Austin,Texas,3
3,"Tesla, Inc.",Texas,3
4,Tesla,"Tesla, Inc.",2
5,Shanghai,Tesla,3
6,Berlin,Shanghai,2
7,Austin,Berlin,3
8,Austin,Tesla,1
9,Tesla,U.S.,5
10,Optimus,Tesla,2
11,Optimus,YouTube,3
12,Tesla,YouTube,2
13,"Hadrian / Shutterstock.com Tesla, Inc.",Tesla,2
14,"Hadrian / Shutterstock.com Tesla, Inc.","Tesla, Inc.",2
15,Q3 2022,"Tesla, Inc.",2
16,Q3 2022,Suggested Articles,2
0,Google,Search,1
0,Zacks.com,iPhones,1
1,The Zacks Computer - Mini,iPhones,2
2,Apple,The Zacks Computer - Mini,3
3,Apple,the Zacks Consensus Estimate,2
4,-1,Apple,2
5,-1,the Zacks Rank,2
6,Apple,the Zacks Rank,2
7,Apple,Zacks Rank,5
8,EPS,Zacks Rank,2
9,EPS,the Zacks Consensus Estimate,4
10,the Zacks Style Scores,the Zacks Value Style Score,3
11,Apple,the Zacks Value Style Score,2
12,Apple,Zacks.com,4
13,Zacks Investment Research,Zacks Rank,2
14,Apple Inc.,Zacks Investment Research,1
15,Apple Inc.,Zacks.com,2
16,Zacks Investment Research Related Quotes,Zacks.com,2
0,David Gardner,Tom,4
1,David Gardner,Motley Fool,1
2,Learn More,Motley Fool,2
3,Apple,Learn More,3
4,Apple,China,17
5,Apple,EPS,7
6,China,EPS,2
7,China,Foxconn,2
8,Apple,Foxconn,3
9,Apple,Zhengzhou,3
10,China,Zhengzhou,3
11,Apple,Pro Max,3
12,China,Pro Max,2
13,Apple,Vietnam,3
14,India,Vietnam,3
15,India,iPhone and Mac,2
16,Taiwan Semiconductor Manufacturing's,iPhone and Mac,3
17,Arizona,Taiwan Semiconductor Manufacturing's,3
18,Arizona,Taiwan,3
19,Apple,Taiwan,2
20,Apple,VR,3
21,AR,VR,3
22,AR,Apple,2
23,Apple,Apple Music,6
24,Apple,Apple Arcade,3
25,Apple Arcade,Apple Fitness+,3
26,Apple Fitness+,Spotify,2
27,Netflix,Spotify,3
28,Amazon,Netflix,3
29,Amazon,Peloton,3
30,Apple,Peloton,2
31,Amazon,Apple,2
32,Apple,John Mackey,2
33,John Mackey,Whole Foods Market,3
34,Amazon,Whole Foods Market,3
35,Amazon,Leo Sun,2
36,Amazon.com,Leo Sun,3
37,Amazon.com,Apple,8
38,Apple,Netflix,3
39,Netflix,Peloton Interactive,3
40,Peloton Interactive,Spotify Technology,3
41,Spotify Technology,Taiwan Semiconductor Manufacturing,3
42,Apple,Taiwan Semiconductor Manufacturing,2
0,Brian Sozzi,Yahoo Finance's,1
1,Apple,Brian Sozzi,1
2,Apple,China,2
3,China,Citi,2
4,Citi,Jim Suva,2
5,Jim Suva,Yahoo Finance,2
6,Apple,Yahoo Finance,2
0,Jamil Steve Jobs,Shahid Jamil Shahid,1
1,Jamil Steve Jobs,Ronald Wayne,1
2,Ronald Wayne,Steve Wozniak,1
3,Apple,Steve Wozniak,1
4,Apple,Steve Jobs',1
5,AAPL,Steve Jobs',1
6,Apple,Steve Jobs,2
7,Steve Jobs,Tim Cook,7
8,Steve Jobs,Thomas Edison,3
9,Leonardo da Vinci,Thomas Edison,3
10,Apple,Leonardo da Vinci,2
11,Apple,U.S.,5
12,China,U.S.,5
13,Microsoft,U.S.,3
14,AAPL,Chart,2
15,Chart,U.S.,3
16,AAPL,U.S.,3
17,AAPL,MSFT,3
18,MSFT,Nasdaq,2
19,Chart,Nasdaq,5
20,Matt Maley,Nasdaq,1
21,Matt Maley,Miller Tabak,3
22,Apple,Miller Tabak,2
23,Chinese,U.S.,1
24,U.S.,Washington,2
25,D.C.,Washington,3
26,Beijing,D.C.,3
27,Beijing,Chinese,3
28,Chinese,TikTok,3
29,China,TikTok,3
30,AAPL,Apple,2
31,AAPL,Steve Jobs,2
32,AAPL,Tim Cook,1
33,Andy,Phillip Brothers,3
34,Phillip Brothers,Salomon Brothers,3
35,Citigroup,Salomon Brothers,3
0,The US Labor Department,US,1
1,Fed,The US Labor Department,2
2,"Amazon.com, Inc. AMZN",Fed,1
3,"Amazon.com, Inc. AMZN",Tesla Inc TSLA,3
4,Dow Jones,Tesla Inc TSLA,1
5,Apple Inc.,Dow Jones,3
6,Apple Inc.,The Chicago Board Options Exchange's,1
7,CBOE,The Chicago Board Options Exchange's,3
8,CBOE,VIX,3
9,Benzinga.com,VIX,2
10,Benzinga,Benzinga.com,2
0,Apple Inc.,The Zacks Research Daily,1
1,Apple Inc.,Johnson & Johnson,4
2,JNJ,Johnson & Johnson,2
3,CSX Corporation,JNJ,2
4,CSX,CSX Corporation,2
5,Energy,Zacks,2
6,Zacks,the Construction (Negative revision,3
7,Consumer Discretionary,the Construction (Negative revision,3
8,Consumer Discretionary,Retail,3
9,Retail,Tech,3
10,Aerospace,Tech,3
11,Aerospace,Transportation,3
12,Transportation,Utilities,2
13,Fed,Utilities,2
